10percentage,12percentage,CollegeTier,Degree,Specialization,collegeGPA,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
87.8,84.0,1,B.Tech/B.E.,EIE,73.82,650,665,810,0.694479327708463,485,366,-1,-1,-1,-1,-1,-0.159,0.3789,1.2396,0.1459,0.2889,645000
57.0,64.5,2,B.Tech/B.E.,CS/IT,65.0,440,435,210,0.342314899911815,365,-1,-1,-1,-1,-1,-1,1.1336,0.0459,1.2396,0.5262,-0.2859,310000
77.33,85.17,2,B.Tech/B.E.,ECE,61.94,485,475,505,0.824666400671332,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875,455000
84.3,86.0,1,B.Tech/B.E.,CS/IT,80.4,675,620,635,0.990008756723898,655,-1,-1,-1,-1,-1,-1,-0.4463,0.2124,0.3174,0.2727,0.4805,620000
82.0,75.0,2,B.Tech/B.E.,biotechnology,64.3,575,495,365,0.278457409311292,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.0622299999999999,0.1864,400000
83.16,77.0,1,M.Tech./M.E.,EIE,99.93,535,595,620,0.376059586651545,455,300,-1,-1,-1,313,-1,0.8463,-0.6201,-0.7585,-0.995,-0.2859,640000
72.5,53.2,2,B.Tech/B.E.,mechanical engineering,68.0,510,495,405,0.829584599793067,-1,-1,-1,469,-1,-1,-1,0.1282,-0.4536,0.3174,0.9066,-0.0943,350000
77.0,88.0,2,B.Tech/B.E.,CS/IT,71.0,370,470,280,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.1282,0.5454,0.4711,0.9066,-0.2859,305000
76.8,87.7,2,B.Tech/B.E.,CS/IT,73.15,510,555,440,0.744758354008939,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943,395000
57.0,73.0,2,B.Tech/B.E.,CS/IT,70.08,500,410,560,0.622642915849938,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721,400000
77.0,75.0,2,B.Tech/B.E.,ECE,62.0,675,630,485,0.207392169717661,405,260,-1,-1,-1,-1,-1,1.7081,0.5454,0.9322,-0.4879,0.8637,535000
81.2,79.9,2,B.Tech/B.E.,EIE,67.67,395,565,645,-1.0,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,500000
85.0,88.0,2,B.Tech/B.E.,CS/IT,85.0,495,445,605,0.765673581234011,485,-1,-1,-1,-1,-1,-1,-1.9629,-2.1903,-2.775,0.4148,-0.4455,680000
90.0,82.1,2,B.Tech/B.E.,CS/IT,85.0,640,530,705,0.486747008438193,615,-1,376,-1,-1,-1,-1,0.99,0.7119,-0.1437,-1.1218,0.8637,750000
86.4,86.2,2,B.Tech/B.E.,ECE,81.4,720,630,750,0.338786347219528,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721,525000
84.13,77.0,2,B.Tech/B.E.,CS/IT,75.2,385,515,465,0.525922584252055,415,-1,-1,-1,-1,-1,-1,0.1623,0.9688,1.1074,0.4442,-0.1295,605000
81.7,75.8,2,B.Tech/B.E.,CS/IT,78.7,475,245,485,0.735795709224656,475,-1,-1,-1,-1,-1,-1,-1.3447,-1.3713,-0.4891,0.1798,1.2923,700000
86.0,89.0,2,B.Tech/B.E.,CS/IT,73.9,520,570,620,0.953899775079926,425,-1,530,-1,-1,-1,-1,1.2772,0.0459,0.6248,-1.3753,0.6721,410000
66.15,54.0,2,B.Tech/B.E.,CS/IT,66.0,360,495,280,0.793580614548506,495,-1,-1,-1,-1,-1,-1,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,600000
79.29,68.67,2,B.Tech/B.E.,CS/IT,76.0,545,505,595,0.356536487724475,555,-1,346,-1,-1,-1,-1,0.2718,0.7119,0.3174,-0.1076,1.4386,560000
60.0,50.0,2,B.Tech/B.E.,CS/IT,69.94,240,340,430,0.143256541032196,295,-1,-1,-1,-1,-1,-1,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,440000
58.4,64.8,2,MCA,CS/IT,80.0,440,415,554,0.793580614548506,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543,320000
61.0,59.0,2,B.Tech/B.E.,CS/IT,63.0,355,565,495,0.930370607202691,565,-1,-1,-1,-1,-1,-1,-0.880999999999999,0.6568,0.672,1.4724,0.3444,630000
50.0,64.0,2,B.Tech/B.E.,ECE,70.0,345,365,445,0.538386892985096,-1,333,-1,-1,-1,-1,-1,-0.4173,-1.3713,0.9042,1.5578,0.3444,320000
67.06,70.67,2,B.Tech/B.E.,CS/IT,55.5,440,440,385,0.144789889482462,435,-1,284,-1,-1,-1,-1,1.1336,-0.2871,-0.1437,0.1459,0.2889,320000
67.0,61.0,2,B.Tech/B.E.,CS/IT,75.0,370,410,320,0.488347976782714,405,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,320000
73.0,71.0,2,B.Tech/B.E.,CS/IT,61.0,180,365,310,0.0745462652358558,255,433,-1,313,-1,-1,322,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,800000
86.17,78.6,1,B.Tech/B.E.,CS/IT,73.34,505,495,695,0.987207085890868,645,-1,-1,-1,-1,-1,-1,-1.4992,0.5008,0.2366,0.6498,0.6603,700000
78.0,75.0,2,B.Tech/B.E.,mechanical engineering,73.0,630,555,570,0.0669607065028304,-1,-1,-1,253,-1,-1,-1,1.7081,-0.1206,0.01,-1.7556,0.2889,440000
71.8,68.2,2,B.Tech/B.E.,ECE,76.5,615,590,585,-1.0,485,-1,-1,-1,-1,-1,-1,-0.159,-0.7866,-0.7585,0.1459,-2.0105,400000
66.66,80.4,2,B.Tech/B.E.,CS/IT,64.29,525,505,575,0.901489571371033,545,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.1727,-0.1295,280000
85.0,81.0,2,B.Tech/B.E.,CS/IT,76.7,455,530,440,0.622642915849938,455,-1,407,-1,-1,-1,-1,1.7081,0.8784,1.7007,0.1459,0.8637,530000
83.6,74.0,2,B.Tech/B.E.,CS/IT,71.0,615,595,720,0.987207085890868,645,-1,-1,-1,-1,-1,-1,-0.7335,0.0459,0.6248,-0.6147,0.2889,650000
61.69,60.66,1,MCA,CS/IT,77.5,440,605,520,0.356536487724475,575,-1,346,-1,-1,-1,-1,0.5591,0.3789,0.6248,0.3995,-1.0524,440000
85.0,82.0,2,B.Tech/B.E.,ECE,81.0,730,525,690,0.694479327708463,465,366,-1,-1,-1,393,-1,0.99,0.2124,0.6248,0.2727,-1.0524,525000
80.13,69.17,2,B.Tech/B.E.,Others,60.34,590,440,385,0.996744486852253,475,-1,623,-1,-1,-1,-1,-0.5899,-0.6201,0.4711,-0.3612,-0.2859,415000
82.5,85.0,2,B.Tech/B.E.,CS/IT,75.0,545,485,530,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.1282,-1.9521,-0.6048,0.653,0.6721,515000
63.5,65.72,2,B.Tech/B.E.,CS/IT,60.0,430,460,320,0.23780283983757,355,-1,315,-1,-1,-1,-1,0.5591,1.0449,0.3174,-0.2344,0.6721,420000
64.0,62.0,2,B.Tech/B.E.,CS/IT,75.0,345,470,365,0.356536487724475,435,-1,346,-1,-1,-1,-1,-0.3027,-0.4536,-2.4491,1.0333,-0.2859,380000
76.0,61.0,2,MCA,CS/IT,85.0,464,475,575,0.960903087163164,595,-1,-1,-1,-1,-1,-1,-1.4992,-1.3713,-0.6343,0.1798,-1.1169,440000
73.0,76.0,2,B.Tech/B.E.,CS/IT,74.0,465,570,415,0.356536487724475,575,-1,346,-1,-1,-1,-1,-1.5953,-0.1206,0.3174,0.2727,-1.4356,260000
91.0,83.0,2,B.Tech/B.E.,CS/IT,71.0,475,495,565,0.930370607202691,565,-1,-1,-1,-1,-1,-1,1.1283,0.6568,-0.344,-0.7603,-0.4455,365000
65.0,47.6,2,MCA,CS/IT,63.0,415,365,475,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.2009,-0.7473,0.3817,0.5323,0.3444,380000
70.16,66.8,2,MCA,CS/IT,69.7,275,485,530,0.486747008438193,475,-1,376,-1,-1,-1,-1,-0.4463,-1.1196,0.01,0.5262,-0.0943,350000
74.6,80.8,2,B.Tech/B.E.,ECE,72.45,535,415,635,0.960603251997053,-1,466,-1,-1,-1,-1,-1,0.8192,0.3448,1.1074,-0.1727,1.4502,570000
66.5,66.4,2,B.Tech/B.E.,EE,66.0,500,560,560,0.376059586651545,-1,300,-1,-1,-1,-1,-1,-0.5719,0.8351,0.2477,-0.6428,-0.4455,345000
78.4,58.4,2,B.Tech/B.E.,Others,76.5,545,535,605,0.986525019020638,-1,-1,-1,580,-1,-1,-1,-0.3027,1.5444,0.3174,1.5404,0.8637,300000
62.0,62.0,2,MCA,CS/IT,72.02,505,445,575,0.864685413370085,525,-1,-1,-1,-1,-1,-1,0.0464,0.2668,-1.7954,-0.6428,-1.2354,500000
52.93,64.0,2,B.Tech/B.E.,CS/IT,73.0,325,375,370,0.911395278391328,495,-1,500,-1,-1,-1,-1,0.2718,-0.1206,0.3174,-1.8824,-0.4776,440000
82.0,81.0,2,B.Tech/B.E.,EE,64.0,625,585,530,0.376059586651545,-1,300,-1,-1,-1,-1,-1,0.7419,0.8128,-1.6502,-0.8778,-0.2875,700000
78.0,69.0,2,B.Tech/B.E.,ECE,75.0,355,485,425,0.0587928000083534,325,200,-1,-1,-1,-1,-1,-0.2628,-0.5913,-0.1988,1.2374,-0.168999999999999,500000
65.0,65.4,1,B.Tech/B.E.,CS/IT,67.72,490,615,725,0.744758354008939,595,-1,438,-1,-1,-1,-1,-0.3027,-0.7866,-1.527,1.9207,-1.6273,500000
70.2,68.4,1,B.Tech/B.E.,EE,60.4,544,415,504,0.0587928000083534,335,200,-1,-1,-1,-1,-1,-0.5719,-0.2793,0.672,-0.6428,-0.2875,710000
93.0,89.0,2,B.Tech/B.E.,CS/IT,83.0,345,495,325,0.622642915849938,445,-1,407,-1,-1,-1,-1,-0.7335,0.0459,-0.1437,1.0333,-0.8608,350000
53.4,66.0,2,B.Tech/B.E.,CS/IT,60.62,300,520,330,0.744758354008939,335,-1,438,-1,-1,-1,-1,-0.3027,0.2124,1.0859,1.1601,-0.4776,440000
84.2,78.6,2,B.Tech/B.E.,ECE,64.45,525,605,595,0.376059586651545,-1,300,-1,-1,-1,-1,-1,-2.272,0.2668,-0.9245,1.0024,0.6603,345000
71.5,60.0,2,B.Tech/B.E.,CS/IT,68.74,415,355,455,0.245455659999829,335,-1,-1,-1,-1,-1,-1,0.51,1.1248,-0.7794,-0.2609,-0.6035,440000
81.5,80.2,2,B.Tech/B.E.,CS/IT,82.0,430,510,415,0.342314899911815,365,-1,-1,-1,-1,-1,-1,0.7027,-1.1196,-0.1437,0.3995,0.2889,510000
63.0,66.0,2,B.Tech/B.E.,CS/IT,65.55,435,465,465,0.704090412131314,465,-1,-1,-1,-1,-1,-1,-3.6631,-2.1513,0.0914,1.32552999999999,-1.2354,650000
74.0,86.1,2,MCA,CS/IT,76.0,405,385,585,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-1.8083,-0.5913,-0.9245,-0.0552,0.3444,580000
91.6,86.5,2,B.Tech/B.E.,ECE,80.2,465,510,570,0.783303536670298,445,388,-1,-1,-1,484,-1,-0.159,1.2114,0.4711,-1.6289,0.0973,500000
87.5,89.9,2,B.Tech/B.E.,CS/IT,73.21,500,415,485,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.1282,0.8784,0.6248,-0.3612,-0.6692,500000
78.5,83.0,2,B.Tech/B.E.,ECE,77.72,350,470,405,0.207392169717661,355,260,-1,-1,-1,-1,-1,1.7081,0.7119,0.6248,-1.3753,0.6721,400000
79.5,63.2,2,B.Tech/B.E.,ECE,63.3,615,425,440,0.493596387301038,405,324,-1,-1,-1,452,-1,-0.3027,1.0449,1.3933,0.1459,0.8637,370000
71.0,68.0,2,B.Tech/B.E.,CS/IT,81.4,345,570,220,0.843123726665742,515,-1,-1,-1,-1,-1,-1,0.2718,0.3789,0.6248,-1.3753,-0.6692,295000
66.0,61.0,2,B.Tech/B.E.,CS/IT,72.04,640,500,545,0.953899775079926,464,-1,530,-1,-1,-1,-1,0.5591,1.0449,-0.1437,-0.6147,-0.8608,535000
74.0,63.0,2,B.Tech/B.E.,CS/IT,72.0,490,530,370,0.0409993103614119,405,-1,223,-1,-1,-1,-1,-1.5953,0.5454,-0.7585,0.5262,-0.6692,310000
